Configuration: SHA-512 8 2 1000
Iteration 192: 0.000001750 0.000186875 0.000208375 0.000080875
Iteration 193: 0.000002000 0.000152708 0.000179917 0.000125375
Iteration 194: 0.000002000 0.000214333 0.000165750 0.000172333
Iteration 195: 0.000006542 0.000177916 0.000165916 0.000100667
Iteration 196: 0.000001959 0.000153958 0.000128000 0.000187417
Iteration 197: 0.000004000 0.000149833 0.000247833 0.000081459
Iteration 198: 0.000002375 0.000170750 0.000263084 0.000095875
Iteration 199: 0.000004916 0.000147333 0.000186333 0.000141875
Iteration 200: 0.000004375 0.000195750 0.000130875 0.000118375
Iteration 201: 0.000002000 0.000123791 0.000170459 0.000148875
Iteration 202: 0.000001709 0.000191583 0.000116625 0.000138416
Iteration 203: 0.000002000 0.000152292 0.000212750 0.000085333
Iteration 204: 0.000001833 0.000181625 0.000150250 0.000130333
Iteration 205: 0.000001834 0.000192750 0.000161333 0.000091042
Iteration 206: 0.000001875 0.000120917 0.000149291 0.000176667
Iteration 207: 0.000001750 0.000211375 0.000129500 0.000111167
Iteration 208: 0.000001750 0.000195500 0.000215125 0.000037125
Iteration 209: 0.000001792 0.000202917 0.000126875 0.000109125
Iteration 210: 0.000001750 0.000120833 0.000156125 0.000158708
Iteration 211: 0.000001709 0.000202834 0.000169541 0.000063500
Iteration 212: 0.000001708 0.000130708 0.000210667 0.000090291
Iteration 213: 0.000001667 0.000142583 0.000123500 0.000167959
Iteration 214: 0.000001666 0.000115000 0.000196625 0.000130042
Iteration 215: 0.000001792 0.000135709 0.000161000 0.000190667
Iteration 216: 0.000008584 0.000219083 0.000145833 0.000096125
Iteration 217: 0.000001959 0.000124709 0.000198167 0.000155750
Iteration 218: 0.000002084 0.000191292 0.000198208 0.000066041
Iteration 219: 0.000001959 0.000194209 0.000144791 0.000114750
Iteration 220: 0.000001833 0.000181250 0.000144166 0.000170542
Iteration 221: 0.000002958 0.000228167 0.000216166 0.000080458
Iteration 222: 0.000001875 0.000144709 0.000138084 0.000158209
Iteration 223: 0.000001792 0.000169458 0.000181792 0.000134292
Iteration 224: 0.000001875 0.000148666 0.000127292 0.000164208
Iteration 225: 0.000001750 0.000170000 0.000200625 0.000074791
Iteration 226: 0.000001833 0.000203459 0.000147834 0.000097917
Iteration 227: 0.000002250 0.000141416 0.000184000 0.000108167
Iteration 228: 0.000001666 0.000233958 0.000238042 0.000009333
Iteration 229: 0.000001792 0.000152500 0.000164084 0.000118334
Iteration 230: 0.000001625 0.000194625 0.000123750 0.000106500
Iteration 231: 0.000001666 0.000159625 0.000130750 0.000138917
Iteration 232: 0.000001708 0.000123583 0.000174333 0.000162416
Iteration 233: 0.000001750 0.000156083 0.000161834 0.000116000
Iteration 234: 0.000001709 0.000117125 0.000173875 0.000190667
Iteration 235: 0.000003417 0.000223500 0.000134250 0.000087084
Iteration 236: 0.000001917 0.000163833 0.000204792 0.000093416
Iteration 237: 0.000001792 0.000148250 0.000116541 0.000176542
Iteration 238: 0.000001958 0.000196875 0.000196542 0.000044916
Iteration 239: 0.000001750 0.000119250 0.000178959 0.000145875
Iteration 240: 0.000001917 0.000214500 0.000124500 0.000102250
Iteration 241: 0.000001708 0.000156625 0.000116958 0.000168583
Iteration 242: 0.000001708 0.000184250 0.000128709 0.000188583
Iteration 243: 0.000004875 0.000172709 0.000131584 0.000133042
