Configuration: SHA-512 8 2 1000
Iteration 202: 0.000013458 0.000220125 0.000174000 0.000068292
Iteration 203: 0.000013792 0.000122042 0.000143417 0.000187792
Iteration 204: 0.000012958 0.000179083 0.000162750 0.000112959
Iteration 205: 0.000012416 0.000210709 0.000184542 0.000069083
Iteration 206: 0.000015000 0.000176875 0.000166833 0.000110042
Iteration 207: 0.000011000 0.000142542 0.000141042 0.000171958
Iteration 208: 0.000012000 0.000160375 0.000223375 0.000124292
Iteration 209: 0.000025250 0.000197834 0.000188375 0.000075250
Iteration 210: 0.000011917 0.000157667 0.000190292 0.000123750
Iteration 211: 0.000014917 0.000202291 0.000221833 0.000063167
Iteration 212: 0.000013041 0.000187334 0.000142541 0.000127916
Iteration 213: 0.000011000 0.000178875 0.000197125 0.000079000
Iteration 214: 0.000013583 0.000138708 0.000197584 0.000119042
Iteration 215: 0.000011041 0.000120542 0.000165000 0.000229667
Iteration 216: 0.000020166 0.000171583 0.000185042 0.000110458
Iteration 217: 0.000011750 0.000219333 0.000177834 0.000073583
Iteration 218: 0.000011250 0.000161958 0.000193542 0.000098917
Iteration 219: 0.000011584 0.000124125 0.000213208 0.000129625
Iteration 220: 0.000012917 0.000192542 0.000171208 0.000093791
Iteration 221: 0.000011459 0.000214708 0.000189084 0.000056084
Iteration 222: 0.000011375 0.000181083 0.000184625 0.000093833
Iteration 223: 0.000011083 0.000173583 0.000194834 0.000086625
Iteration 224: 0.000010958 0.000164959 0.000125417 0.000163416
Iteration 225: 0.000010917 0.000215250 0.000151667 0.000094333
Iteration 226: 0.000010875 0.000152750 0.000125333 0.000175791
Iteration 227: 0.000011084 0.000137542 0.000187084 0.000145167
Iteration 228: 0.000012167 0.000218750 0.000212792 0.000033166
Iteration 229: 0.000011000 0.000159708 0.003045959 0.000152333
Iteration 230: 0.000045459 0.000325250 0.000316292 0.000237667
Iteration 231: 0.000025125 0.000271791 0.000162250 0.000143208
Iteration 232: 0.000026458 0.000152042 0.000200541 0.000094125
Iteration 233: 0.000011250 0.000169083 0.000188583 0.000099208
Iteration 234: 0.000011167 0.000193250 0.000138917 0.000121750
Iteration 235: 0.000011083 0.000136375 0.000173958 0.000161417
Iteration 236: 0.000011042 0.000166333 0.000191875 0.000094750
Iteration 237: 0.000011000 0.000211709 0.000159959 0.000081750
Iteration 238: 0.000011000 0.000123125 0.000216333 0.000113833
Iteration 239: 0.000012458 0.000184833 0.000157167 0.000112125
Iteration 240: 0.000012292 0.000127791 0.000199167 0.000129959
Iteration 241: 0.000012375 0.000163958 0.000199208 0.000087375
Iteration 242: 0.000012125 0.000151250 0.000129792 0.000171834
Iteration 243: 0.000012417 0.000256500 0.000226375 0.000015250
Iteration 244: 0.000012833 0.000186083 0.000149292 0.000118166
Iteration 245: 0.000012208 0.000210125 0.000130750 0.000110916
Iteration 246: 0.000012083 0.000266833 0.000224042 0.000038875
Iteration 247: 0.000014417 0.000174000 0.000182500 0.000097250
Iteration 248: 0.000011708 0.000204917 0.000169458 0.000094375
Iteration 249: 0.000014750 0.000166041 0.000247583 0.000066875
Iteration 250: 0.000012333 0.000207542 0.000191500 0.000050416
Iteration 251: 0.000011583 0.000133625 0.000141083 0.000171208
Iteration 252: 0.000011000 0.000146625 0.000213875 0.000099417
Iteration 253: 0.000017875 0.000193417 0.000151542 0.000112583
Iteration 254: 0.000035584 0.000188833 0.000175791 0.000090250
Iteration 255: 0.000011917 0.000140750 0.000166625 0.000148542
Iteration 256: 0.000019333 0.000200791 0.000151167 0.000101542
